id,line,context,prev_line,match_line,next_line,risk,recommendation
130,4247,,"logger.info(""HECRAS perimeter: %d points; polygon=%s"", len(self.perimeter_points), 'yes' if self.perimeter_polygon is not None else 'no')",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
131,4257,,"logger.warning(""Failed to compute HECRAS perimeter: %s"", e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
132,4267,,"logger.exception(""HECRAS initialization failed due to IO/Key/Value error: %s"", e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
133,4276,,"logger.warning(""load_hecras_plan_cached failed; disabling HECRAS mode: %s"", e2)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
134,4281,,self.hecras_mapping_enabled = False,except Exception:,# Re-raise unexpected exceptions so we don't mask programming errors,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
135,4310,,env = self.hdf5.get('environment') if self.hdf5 is not None else None,except Exception:,env = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
136,4327,,y_coords = np.array(env['y_coords']),except Exception:,distance_to = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
137,4344,,y_coords = y_coords if y_coords is not None else np.array(env2['y_coords']),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
138,4357,,distance_to_rast = distance_transform_edt(mask) * pixel_width,except Exception:,distance_to_rast = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
139,4390,,target_affine = compute_affine_from_hecras(hecras_coords),except Exception:,target_affine = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
140,4392,,target_affine = None,except Exception:,target_affine = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
141,4400,,logger.info('Derived centerline from HECRAS rasters (skeletonized)'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
142,4415,,"logger.warning('Could not derive centerline from HECRAS: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
143,4469,,"logger.warning('HECRAS depth dataset missing or unreadable: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
144,4477,,"logger.warning('HECRAS velocity datasets missing or unreadable: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
145,4508,,"logger.warning(""Failed to initialize HECRAS environment: %s"", e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
146,4540,apply_behavioral_weights,"logger.info(""Applied behavioral weights (keys): %s"", keys)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
147,4542,apply_behavioral_weights,pass,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
148,4545,apply_behavioral_weights,logger.warning('Applied behavioral weights (some fields may be unavailable)'),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
149,4559,apply_behavioral_weights,"_compute_schooling_loop(dummy_pos, dummy_head, dummy_data, dummy_offsets, 1.0, 1.0, dummy_coh, dummy_align, 2)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
150,4562,apply_behavioral_weights,"logger.exception(""_compute_schooling_loop warmup failed"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
151,4567,,"_compute_drafting_loop(dummy_pos, dummy_head, dummy_data, dummy_offsets, 0.5, 0.1, 0.2, dummy_drag, 2)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
152,4570,,"logger.exception(""_compute_drafting_loop warmup failed"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
153,4572,,pass,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
154,4575,,"logger.exception(""apply_behavioral_weights: unexpected failure during numba warmup block"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
155,4634,,"self.heading = np.random.uniform(-np.pi, np.pi, size=self.num_agents)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
156,4648,,self.ideal_sog = self.sog.copy(),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
157,4661,,"self.y_vel = self.y_vel + vel_jitter[:, 1]",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
158,4676,,"setattr(bw, k, newv)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
159,4681,,self.apply_behavioral_weights(bw),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
160,4683,,pass,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
161,4739,,del self._kdtree_cache,except Exception:,self._kdtree_cache = {},high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
162,4741,,self._kdtree_cache = {},except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
163,4747,,del self._hecras_map,except Exception:,self._hecras_map = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
164,4749,,self._hecras_map = None,except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
165,4757,,"self.past_centerline_meas = np.full((self.num_agents, 1), np.nan)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
166,4763,,gc.collect(),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
167,4782,,"logger.info(""Spatial state reset complete. Behavioral weights preserved."")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
168,4922,,"agent_data.create_dataset(""time_of_jump"", (self.num_agents, self.num_timesteps), dtype='f4', chunks=chunk_shape)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
169,4925,,"logger.exception(""initialize_hdf5: failed while creating HDF5 datasets"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
170,4987,,"self._memmap_writer = MemmapLogWriter(out_dir, var_shapes, dtype=np.float32)",except Exception:,self._memmap_writer = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
171,4997,,"arrays_2d[k] = self._hdf5_buffers[k][:, :write_len].astype('f4')",except Exception:,"arrays_2d[k] = np.zeros((self.num_agents, write_len), dtype='f4')",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
172,5001,,"self._memmap_writer.append_block(t_start, arrays_2d)",except Exception:,# fallback to per-step append on failure,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
173,5008,,"self._memmap_writer.append(t_idx, arrays)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
174,5017,,"self._log_writer.append(t_idx, arrays)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
175,5025,,"self.hdf5[ds_name][:, t_start:t_end+1] = buf[:, :write_len]",except Exception:,for offset in range(write_len):,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
176,5067,,acc_arr.fill(0),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
177,5069,,pass,except Exception:,"# If memory group doesn't exist or write fails, skip silently",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
178,5117,_create_or_replace_dataset,"logger.exception(""Failed to open raster %s: %s"", data_dir, e)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
179,5141,,"logger.info(""Creating x_coords and y_coords with dimensions: height=%s, width=%s, rows=%s, cols=%s"", height, width, src.shape[0], src.shape[1])",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
180,5157,,"logger.exception('Failed to create x_coords/y_coords datasets: %s', e)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
181,5163,,"logger.info(""Created datasets with shape: %s"", dset_x.shape)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
182,5180,,"logger.exception('Failed writing x/y coords chunk starting at row %s: %s', i, e)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
183,5190,,"logger.exception('Failed to flush HDF5 after writing x/y coords: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
184,5196,,"logger.info(""Successfully created x_coords and y_coords; flushed to disk. Shape: %s, first value: %s"", dset_x.shape, dset_x[0,0])",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
185,5201,,"logger.info(""x_coords already exists with shape: %s"", self.hdf5['x_coords'].shape)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
186,5414,,cols = (inds % xs.shape[1]).astype(int),except Exception:,logger.exception('Unexpected error during geo->pixel conversion; re-raising'),low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
187,5423,,return vals.reshape(self.X.shape),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
188,5430,,"dists = _wrap_project_points_onto_line_numba(xs_line, ys_line, px, py)",except Exception:,"dists = _project_points_onto_line_numpy(xs_line, ys_line, px, py)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
189,5446,boundary_surface,"logger.info(""Using HECRAS distance-to-bank (already computed)"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
190,5458,boundary_surface,"logger.warning(""No wetted raster found, skipping boundary_surface"")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
191,5465,boundary_surface,return,except Exception:,return,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
192,5471,boundary_surface,pixel_width = self.depth_rast_transform.a,except Exception:,pixel_width = 1.0,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
193,5498,,self.width = w,except Exception:,# cannot determine shape; skip writing,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
194,5560,,self.height = int(np.ceil(yrange / self.avoid_cell_size)) + 1,except Exception:,"base_transform = compute_affine_from_hecras(np.array([[0.0, 0.0]]), target_cell_size=self.avoid_cell_size)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
195,5615,,"base_t = compute_affine_from_hecras(np.array([[0.0, 0.0]]), target_cell_size=self.refugia_cell_size)",except Exception:,"base_t = compute_affine_from_hecras(np.array([[0.0, 0.0]]), target_cell_size=self.refugia_cell_size)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
196,5695,batch_sample_environment,"ensure_hdf_coords_from_hecras(self, self.hecras_plan_path, target_shape=target_shape, target_transform=target_transform)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
197,5703,batch_sample_environment,"map_hecras_to_env_rasters(self, self.hecras_plan_path, field_names=getattr(self, 'hecras_fields', None), k=getattr(self, 'hecras_k', 8))",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
198,5730,,break,except Exception:,mapped = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
199,5750,,"rows, cols = geo_to_pixel_from_inv(inv, self.X, self.Y)",except Exception:,"rows, cols = geo_to_pixel(self.X, self.Y, transforms[0])",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
200,6014,,prep_poly = prep(poly),except Exception:,prep_poly = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
201,6024,,"wet_arr[i] = 1.0 if prep_poly.contains(Point(float(xs[i]), float(ys[i]))) else 0.0",except Exception:,wet_arr[i] = 0.0,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
202,6032,,wet_arr[idxs] = mask.astype(float),except Exception:,# last-resort: per-point contains without prep,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
203,6038,,"wet_arr[i] = 1.0 if poly.contains(Point(float(xs[i]), float(ys[i]))) else 0.0",except Exception:,wet_arr[i] = 0.0,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
204,6043,,self.wet = wet_arr.reshape(self.X.shape),except Exception:,# fallback: do not change self.wet here,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
205,6046,,pass,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
206,6096,initial_swim_speed,"self.y_vel = vals.get('vel_y', np.zeros(self.num_agents))",except Exception:,self.x_vel = np.zeros(self.num_agents),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
207,6141,initial_heading,values - self.arr.radians(180)),except Exception:,"# Fallback: compute heading from vector velocity components (x_vel, y_vel)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
208,6145,initial_heading,"vals_deg = np.degrees(np.arctan2(self.y_vel, self.x_vel))",except Exception:,"vals_deg = np.zeros(self.num_agents, dtype=float)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
209,6213,update_refugia_map,max_col = sample_ds.shape[1] - 1,except Exception:,max_row = int(np.round(self.height / self.refugia_cell_size)),low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
210,6232,,"self.refugia_accumulator[ai, ri, ci] = cv[valid]",except Exception:,# Fallback to safe per-agent assignment if vectorized write fails,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
211,6239,,"self.refugia_accumulator[i, r, c] = float(cv[i])",except Exception:,continue,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
212,6313,,"self.nearest_neighbor_distance = np.full(self.num_agents, np.nan)",except Exception:,logger.exception('Unexpected error during neighbor init; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
213,6367,,"logger.exception('HECRAS mapping failed for node fields; disabling HECRAS mapping for this sim: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
214,6370,,self.use_hecras = False,except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
215,6373,,logger.exception('Unexpected error during HECRAS mapping — re-raising'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
216,6403,precompute_pixel_indices,"logger.exception(""precompute_pixel_indices: get_inv_transform or geo_to_pixel_from_inv failed for key=%s: %s"", key, e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
217,6406,precompute_pixel_indices,"rows, cols = geo_to_pixel(X, Y, transform)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
218,6409,precompute_pixel_indices,logger.exception('precompute_pixel_indices: unexpected error — re-raising'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
219,6483,,"self.y_vel += vel_jitter[:, 1]",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
220,6485,,pass,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
221,6521,,tree = None,except Exception:,logger.exception('Unexpected error building KDTree; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
222,6610,,"logger.warning(""Negative kcal detected!"")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
223,7243,,"out = _wrap_drag_fun_numba(fx, fy, wx, wy, mask, float(density), surface_areas, drag_coeffs, self.simulation.wave_drag, self.simulation.swim_behav, out)",except Exception:,# fallback,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
224,7426,,logger.warning('nan in error'),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
225,7472,,"dxdy = _swim_core_numba(fv0x_a, fv0y_a, accx_a, accy_a, pidx_a, pidy_a, tired_a, dead_a, mask_a, float(dt))",except Exception:,"dxdy = _swim_core_numba(fv0x, fv0y, accx, accy, pidx, pidy, tired_mask, dead_mask, mask, dt)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
226,7531,,"logger.debug('JUMP DEBUG t=0: dxdy[:3]=%s', dxdy[:3])",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
227,7537,,logger.warning('Jump displacement unexpectedly large; check jump parameters'),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
228,7551,__init__,"self.num_agents = int(getattr(simulation_object, 'num_agents', 0))",except Exception:,self.num_agents = 0,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
229,8174,,"logger.debug(""border_cue: %d agents too close, threshold=%s; sample forces (x,y): %s"", n_close, thr_repr, list(zip(sample_fx, sample_fy)))",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
230,8176,,pass,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
231,8449,,"self.simulation.wave_drag = np.where(body_depths >= 3, 1, wave_drag_fun(body_depths))",except Exception:,"# Fallback: if CSV not available, assume no additional wave drag",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
232,8744,,"alignment_array[:, 1] = (1.0 - sog_weight) * alignment_array[:, 1] + sog_weight * weight * v_hat_vel_y * no_school",except Exception:,"# On any error, fall back to heading-only alignment",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
233,9243,,self.simulation.drag = drags_tmp,except Exception:,self.simulation.drag = np.ascontiguousarray(drags_tmp),low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
234,9245,,self.simulation.drag = np.ascontiguousarray(drags_tmp),except Exception:,"swim_speeds = np.linalg.norm(fish_velocities - water_velocities, axis=-1)",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
235,9285,bout_distance,"dist_travelled = _bout_distance_numba(prev_X, X, prev_Y, Y)",except Exception:,"dist_travelled = _bout_distance_numba(self.simulation.prev_X, self.simulation.X, self.simulation.prev_Y, self.simulation.Y)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
236,9321,time_to_fatigue,"ttf = _time_to_fatigue_numba(ss, m_pro, m_sprint, float(a_p), float(b_p), float(a_s), float(b_s))",except Exception:,"ttf = _time_to_fatigue_numba(swim_speeds, mask_dict['prolonged'].astype(bool), mask_dict['sprint'].astype(bool), a_p, b_p, a_s, b_s)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
237,9434,calc_battery,logger.exception('Numba merged battery kernel failed; falling back to pure-Python implementation'),except Exception:,logger.exception('Unexpected error in merged battery numba kernel; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
238,9529,PID_checks,"logger.info('swim mode: %s', self.swim_mode[0])",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
239,9535,PID_checks,"logger.warning('Error no longer counts, fatigued')",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
240,9575,assess_fatigue,self.simulation.drag = drags_out,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
241,9578,assess_fatigue,self.simulation.drag = np.ascontiguousarray(drags_out),except Exception:,logger.exception('Failed to set simulation.drag from numba kernel output'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
242,9580,,logger.exception('Failed to set simulation.drag from numba kernel output'),except Exception:,"# If the numba path fails entirely, log and fallback to Python implementation",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
243,9623,,self.simulation.battery = new_batt,except Exception:,self.simulation.drag = np.ascontiguousarray(new_drags),low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
244,9630,,"self.calc_battery(per_rec, ttf,  mask_dict)",except Exception:,logger.exception('Unexpected error in _drag_and_battery_numba; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
245,9667,timestep,self.precompute_pixel_indices(),except Exception:,"# If precompute fails, do not block timestep (fallback to on-demand geo_to_pixel)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
246,9671,timestep,"logger.exception(""precompute_pixel_indices failed during timestep; falling back to on-demand geo_to_pixel"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
247,9798,,"self.y_vel += impulse[:, 1] * dt_safe",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
248,9851,,"logger.exception('ERROR resampling HECRAS data: %s', e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
249,9861,,stage_times['total_timestep'] = time.time() - t_start,except Exception:,stage_times['total_timestep'] = 0.0,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
250,9866,,"os.makedirs(out_dir, exist_ok=True)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
251,9874,,f.write('\n'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
252,9940,run,cmap='viridis'),except Exception:,background = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
